customer_id,customer_name,email,views,searches,add_to_cart,favorites,shares,distinct_products_interacted,total_interactions,completed_sales,units_purchased,amount_spent_sales,valid_rentals,units_rented,amount_spent_rentals,average_rental_days,last_activity,days_since_last_activity,average_monthly_activity,cluster,segmento,accion_sugerida
1273,Alicia Saldaña Meléndez,demo.usuario017@cemydi.local,29,12,5,5,1,29,52,16,47,82536.76,2,2,5915.32,11.0,2026-06-09 14:57:00,53,3.71,2,Arrendatarios recurrentes,"Ofrecer renovaciones, mantenimiento y renta extendida."
1274,Jacobo Casares,demo.usuario018@cemydi.local,51,9,6,2,4,29,72,15,41,187658.05,0,0,0.0,0.0,2026-06-21 09:13:00,41,2.57,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1275,Marisela Anel Velázquez,demo.usuario019@cemydi.local,15,5,3,0,2,14,25,17,48,187632.2,0,0,0.0,0.0,2026-06-24 16:27:00,38,1.25,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1276,Gabriel Lomeli,demo.usuario020@cemydi.local,22,7,6,1,3,21,39,21,57,190269.05,2,2,6538.21,5.5,2026-06-26 14:16:00,36,7.8,2,Arrendatarios recurrentes,"Ofrecer renovaciones, mantenimiento y renta extendida."
1277,Eric Rodrígez,demo.usuario021@cemydi.local,41,12,5,1,6,22,65,14,34,145410.09,0,0,0.0,0.0,2026-06-11 13:46:00,51,3.25,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1278,Hugo Quezada,demo.usuario022@cemydi.local,21,10,4,2,0,13,37,14,43,195948.56,0,0,0.0,0.0,2026-06-15 09:10:00,47,5.29,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1279,Indira Mayte Jaramillo,demo.usuario023@cemydi.local,39,10,6,3,3,29,61,22,36,54898.24,0,0,0.0,0.0,2026-07-26 09:04:00,6,3.81,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1280,Lucas Elias Benavídez Rodarte,demo.usuario024@cemydi.local,35,18,9,2,0,23,64,7,16,59088.73,0,0,0.0,0.0,2026-07-18 17:45:00,14,4.92,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1281,Vicente Juan Guajardo,demo.usuario025@cemydi.local,21,3,4,0,1,16,29,6,20,214180.13,0,0,0.0,0.0,2026-07-01 16:38:00,31,1.16,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1282,Fabiola Godínez,demo.usuario026@cemydi.local,20,7,3,3,0,14,33,7,23,175492.78,0,0,0.0,0.0,2026-07-27 17:16:00,5,1.83,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1283,Adriana Estefanía Terán,demo.usuario027@cemydi.local,24,5,1,0,0,18,30,22,42,83393.38,0,0,0.0,0.0,2026-06-28 10:29:00,34,1.3,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1284,José Luis Gamboa,demo.usuario028@cemydi.local,3,2,4,1,2,10,12,1,4,17233.16,0,0,0.0,0.0,2026-05-04 15:41:00,89,0.52,0,Baja actividad,Aplicar campañas de reactivación y seguimiento.
1285,César Alberto Ceja Alejandro,demo.usuario029@cemydi.local,52,10,5,2,3,27,72,14,38,89790.74,0,0,0.0,0.0,2026-06-19 11:46:00,43,2.77,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1286,Srita. Anabel Castro,demo.usuario030@cemydi.local,29,19,5,1,3,28,57,22,45,66912.0,1,1,1937.16,12.0,2026-06-12 18:50:00,50,3.56,2,Arrendatarios recurrentes,"Ofrecer renovaciones, mantenimiento y renta extendida."
1287,Ariadna Jaqueline Cedillo,demo.usuario031@cemydi.local,5,2,4,0,0,9,11,4,9,10052.73,0,0,0.0,0.0,2026-04-30 09:13:00,93,0.85,0,Baja actividad,Aplicar campañas de reactivación y seguimiento.
1288,Andrea Collado,demo.usuario032@cemydi.local,10,3,0,1,0,8,14,4,5,13300.85,0,0,0.0,0.0,2026-02-16 09:25:00,166,1.27,0,Baja actividad,Aplicar campañas de reactivación y seguimiento.
1289,Mitzy Sonia Manzanares Armenta,demo.usuario033@cemydi.local,26,11,2,2,4,25,45,13,33,75651.87,0,0,0.0,0.0,2026-07-18 16:01:00,14,9.0,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1290,Araceli Quesada Caraballo,demo.usuario034@cemydi.local,47,9,5,3,2,25,66,4,6,10624.84,0,0,0.0,0.0,2026-06-18 11:50:00,44,5.08,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1291,Modesto Martín Madrigal,demo.usuario035@cemydi.local,6,4,1,0,0,8,11,1,4,14588.56,1,1,2123.65,5.0,2026-01-28 17:16:00,185,0.5,0,Baja actividad,Aplicar campañas de reactivación y seguimiento.
1292,Srita. Itzel Nieves,demo.usuario036@cemydi.local,25,4,4,1,1,19,35,18,47,124526.77,0,0,0.0,0.0,2026-06-20 17:36:00,42,1.46,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1293,Fidel Mondragón,demo.usuario037@cemydi.local,47,13,4,4,1,25,69,17,42,204804.07,0,0,0.0,0.0,2026-06-29 13:21:00,33,13.8,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1294,Linda Cuellar,demo.usuario038@cemydi.local,49,13,3,4,1,24,70,15,31,55574.87,0,0,0.0,0.0,2026-07-08 15:08:00,24,2.26,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1295,Victoria Carlota Rodarte Rangel,demo.usuario039@cemydi.local,29,8,6,1,4,21,48,20,42,101115.2,3,3,3165.7,7.0,2026-07-28 14:53:00,4,2.82,2,Arrendatarios recurrentes,"Ofrecer renovaciones, mantenimiento y renta extendida."
1296,Benito Ramón Muro Barreto,demo.usuario040@cemydi.local,45,8,8,5,3,26,69,3,10,37681.08,2,2,2773.74,5.5,2026-06-12 13:05:00,50,11.5,2,Arrendatarios recurrentes,"Ofrecer renovaciones, mantenimiento y renta extendida."
1297,Natividad María José Hernandes,demo.usuario041@cemydi.local,52,11,3,3,4,28,73,6,10,11014.98,1,1,1600.83,11.0,2026-07-15 12:12:00,17,3.48,2,Arrendatarios recurrentes,"Ofrecer renovaciones, mantenimiento y renta extendida."
1298,Esther Báez,demo.usuario042@cemydi.local,31,4,4,1,3,20,43,18,51,88749.0,1,1,3759.36,12.0,2026-07-19 16:01:00,13,10.75,2,Arrendatarios recurrentes,"Ofrecer renovaciones, mantenimiento y renta extendida."
1299,Noemí Bianca Iglesias,demo.usuario043@cemydi.local,29,8,5,2,0,19,44,22,52,201551.94,1,1,4446.6,15.0,2026-06-12 13:55:00,50,4.89,2,Arrendatarios recurrentes,"Ofrecer renovaciones, mantenimiento y renta extendida."
1300,Antonio Jacinto Otero,demo.usuario044@cemydi.local,42,9,2,6,2,27,61,21,49,143225.53,0,0,0.0,0.0,2026-06-02 11:20:00,60,4.69,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1301,Silvano Santiago Corrales de la Torre,demo.usuario045@cemydi.local,46,11,3,1,1,29,62,22,53,160159.65,0,0,0.0,0.0,2026-07-14 16:07:00,18,2.21,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1302,Miguel Ángel Casillas,demo.usuario046@cemydi.local,32,11,2,5,0,23,50,21,53,158988.11,0,0,0.0,0.0,2026-07-07 09:32:00,25,25.0,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1303,Carlos Prado,demo.usuario047@cemydi.local,15,5,6,3,0,15,29,17,34,66880.11,2,2,1870.97,4.5,2026-07-29 15:50:00,3,1.61,2,Arrendatarios recurrentes,"Ofrecer renovaciones, mantenimiento y renta extendida."
1304,María Córdova,demo.usuario048@cemydi.local,34,8,7,2,0,20,51,6,13,15733.06,0,0,0.0,0.0,2026-06-20 14:56:00,42,3.0,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1305,Salvador Carmona Espino,demo.usuario049@cemydi.local,46,10,5,2,3,29,66,12,35,199264.45,0,0,0.0,0.0,2026-06-03 18:32:00,59,9.43,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1306,Cornelio Vela,demo.usuario050@cemydi.local,35,11,4,2,1,23,53,2,5,31145.9,5,5,9786.37,7.0,2026-07-22 13:28:00,10,10.6,2,Arrendatarios recurrentes,"Ofrecer renovaciones, mantenimiento y renta extendida."
1307,María Luisa Silvia Feliciano Loera,demo.usuario051@cemydi.local,2,0,1,0,0,2,3,2,3,4644.95,0,0,0.0,0.0,2025-08-08 13:19:00,358,0.38,0,Baja actividad,Aplicar campañas de reactivación y seguimiento.
1308,Vicente Lorenzo Ponce Serrato,demo.usuario052@cemydi.local,20,7,2,1,3,16,33,22,48,81120.68,1,1,2433.1,10.0,2026-07-14 17:32:00,18,1.94,2,Arrendatarios recurrentes,"Ofrecer renovaciones, mantenimiento y renta extendida."
1309,Octavio Elias Rentería Zelaya,demo.usuario053@cemydi.local,38,8,9,1,1,27,57,2,7,15086.46,0,0,0.0,0.0,2026-04-25 18:08:00,98,11.4,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1310,Noemí Ríos,demo.usuario054@cemydi.local,28,12,3,2,1,22,46,18,51,169742.55,0,0,0.0,0.0,2026-07-11 18:45:00,21,5.11,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1311,Ricardo Pineda,demo.usuario055@cemydi.local,25,7,3,0,2,20,37,19,52,205632.79,0,0,0.0,0.0,2026-06-15 17:52:00,47,6.17,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1312,Dulce María Pedraza,demo.usuario056@cemydi.local,20,7,1,1,1,13,30,13,39,194916.98,0,0,0.0,0.0,2026-07-21 14:01:00,11,10.0,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1313,Ivonne Arcelia Tello Espino,demo.usuario057@cemydi.local,39,9,6,6,0,23,60,1,2,9291.46,0,0,0.0,0.0,2026-04-10 14:25:00,113,2.4,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1314,José Luis Marroquín,demo.usuario058@cemydi.local,4,2,0,0,0,5,6,1,3,14037.78,0,0,0.0,0.0,2025-11-04 09:44:00,270,0.86,0,Baja actividad,Aplicar campañas de reactivación y seguimiento.
1315,Armando Corona,demo.usuario059@cemydi.local,20,9,4,2,2,17,37,12,26,79320.62,0,0,0.0,0.0,2026-06-08 09:49:00,54,6.17,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1316,Alejandro Cabán,demo.usuario060@cemydi.local,46,15,6,4,2,30,73,20,40,114466.47,0,0,0.0,0.0,2026-07-22 18:18:00,10,6.64,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1317,Rufino Ordóñez,demo.usuario061@cemydi.local,46,19,9,1,3,24,78,3,8,13152.49,0,0,0.0,0.0,2026-05-20 16:22:00,73,7.09,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1318,Julio Jaime Muro Carbajal,demo.usuario062@cemydi.local,35,12,10,2,0,18,59,20,46,123685.37,0,0,0.0,0.0,2026-06-30 16:13:00,32,29.5,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1319,Esther Linda Luna,demo.usuario063@cemydi.local,44,19,6,4,4,29,77,2,7,41840.86,1,1,4893.6,15.0,2026-05-02 11:47:00,91,2.85,2,Arrendatarios recurrentes,"Ofrecer renovaciones, mantenimiento y renta extendida."
1320,Rubén Felipe Villarreal,demo.usuario064@cemydi.local,51,14,5,2,5,25,77,0,0,0.0,1,1,2607.75,15.0,2026-07-24 11:22:00,8,15.4,3,Exploradores,Enviar recordatorios y ofrecer asesoría de compra.
1321,Hermelinda Posada,demo.usuario065@cemydi.local,32,14,4,7,0,24,57,0,0,0.0,0,0,0.0,0.0,2026-04-09 16:16:00,114,2.71,3,Exploradores,Enviar recordatorios y ofrecer asesoría de compra.
1322,Agustín Jorge Cardona,demo.usuario066@cemydi.local,8,0,2,2,0,7,12,2,6,10977.86,1,1,3174.48,8.0,2026-05-20 17:39:00,73,0.57,0,Baja actividad,Aplicar campañas de reactivación y seguimiento.
1323,Raúl Marroquín,demo.usuario067@cemydi.local,21,8,2,0,1,14,32,22,59,165969.55,1,1,6820.66,11.0,2026-07-03 10:22:00,29,2.46,2,Arrendatarios recurrentes,"Ofrecer renovaciones, mantenimiento y renta extendida."
1324,Rosa Ana Muñoz Aguirre,demo.usuario068@cemydi.local,59,12,9,4,1,25,85,6,15,32969.46,0,0,0.0,0.0,2026-06-19 17:37:00,43,3.86,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1325,Isaac Apodaca,demo.usuario069@cemydi.local,20,4,6,3,0,15,33,1,4,37556.16,1,1,2517.3,5.0,2026-07-14 17:52:00,18,1.43,2,Arrendatarios recurrentes,"Ofrecer renovaciones, mantenimiento y renta extendida."
1326,Gerónimo Diego Medina Gutiérrez,demo.usuario070@cemydi.local,37,10,8,2,3,25,60,12,38,170330.49,0,0,0.0,0.0,2026-06-11 13:35:00,51,2.5,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1327,Aida Blanca Cotto Quintana,demo.usuario071@cemydi.local,27,9,7,5,0,22,48,12,34,124150.24,0,0,0.0,0.0,2026-06-07 16:53:00,55,8.0,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1328,Araceli Aurora Candelaria,demo.usuario072@cemydi.local,46,10,5,3,1,28,65,22,44,66695.64,1,1,2286.48,8.0,2026-07-15 10:08:00,17,3.25,2,Arrendatarios recurrentes,"Ofrecer renovaciones, mantenimiento y renta extendida."
1329,Rafaél Zepeda,demo.usuario073@cemydi.local,11,1,0,0,0,10,12,0,0,0.0,0,0,0.0,0.0,2026-04-22 17:38:00,101,2.0,3,Exploradores,Enviar recordatorios y ofrecer asesoría de compra.
1330,Lorena Violeta Padilla,demo.usuario074@cemydi.local,54,20,12,3,1,29,90,5,14,42196.74,0,0,0.0,0.0,2026-07-14 16:18:00,18,6.0,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1331,Miriam Sierra Huerta,demo.usuario075@cemydi.local,32,7,7,7,0,17,53,2,6,33921.3,0,0,0.0,0.0,2026-04-28 18:40:00,95,4.08,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1332,Rodolfo Perea Garrido,demo.usuario076@cemydi.local,33,3,4,1,1,21,42,20,53,134267.56,1,1,1285.2,8.0,2026-06-09 15:08:00,53,2.8,2,Arrendatarios recurrentes,"Ofrecer renovaciones, mantenimiento y renta extendida."
1333,Elvira Corona,demo.usuario077@cemydi.local,18,6,4,3,1,16,32,0,0,0.0,0,0,0.0,0.0,2026-04-18 10:58:00,105,1.23,3,Exploradores,Enviar recordatorios y ofrecer asesoría de compra.
1334,Karina Mena Matías,demo.usuario078@cemydi.local,48,13,9,1,2,27,73,16,41,137604.05,0,0,0.0,0.0,2026-06-07 15:43:00,55,7.3,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1335,Eric Angulo,demo.usuario079@cemydi.local,25,5,2,2,0,19,34,18,42,166861.39,1,1,4702.2,15.0,2026-06-17 18:43:00,45,1.62,2,Arrendatarios recurrentes,"Ofrecer renovaciones, mantenimiento y renta extendida."
1336,Juan Polanco de León,demo.usuario080@cemydi.local,27,6,4,1,1,15,39,12,37,197846.73,2,2,2320.93,6.0,2026-06-13 13:43:00,49,3.25,2,Arrendatarios recurrentes,"Ofrecer renovaciones, mantenimiento y renta extendida."
1337,Jaime Zambrano Gaona,demo.usuario081@cemydi.local,26,12,4,1,5,19,48,3,7,14322.46,8,8,8374.03,6.63,2026-06-11 11:44:00,51,2.53,2,Arrendatarios recurrentes,"Ofrecer renovaciones, mantenimiento y renta extendida."
1338,Srita. Alejandra Soto,demo.usuario082@cemydi.local,38,10,5,2,3,25,58,9,23,93123.7,1,1,6183.1,14.0,2026-07-23 09:56:00,9,2.23,2,Arrendatarios recurrentes,"Ofrecer renovaciones, mantenimiento y renta extendida."
1339,Tomás Jaime García Valles,demo.usuario083@cemydi.local,28,5,6,4,0,19,43,17,48,141641.86,0,0,0.0,0.0,2026-06-06 16:10:00,56,2.53,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1340,Jaime Ibarra Cantú,demo.usuario084@cemydi.local,44,15,7,7,2,27,75,7,19,120204.77,0,0,0.0,0.0,2026-06-16 18:42:00,46,5.36,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1341,José Eduardo Acosta Ponce,demo.usuario085@cemydi.local,21,5,4,2,1,19,33,13,29,74640.06,0,0,0.0,0.0,2026-06-15 15:48:00,47,4.71,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1342,Patricia Elisa Uribe,demo.usuario086@cemydi.local,18,3,7,0,3,15,31,14,37,133399.17,0,0,0.0,0.0,2026-07-29 11:37:00,3,2.82,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1343,Adalberto Villagómez,demo.usuario087@cemydi.local,17,9,5,3,1,18,35,17,35,59452.2,0,0,0.0,0.0,2026-06-06 11:58:00,56,1.94,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1344,Gabriela Márquez León,demo.usuario088@cemydi.local,28,5,3,2,0,22,38,16,38,89017.27,0,0,0.0,0.0,2026-07-27 18:17:00,5,2.11,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1345,Hernán Negrete,demo.usuario089@cemydi.local,55,14,8,5,4,29,86,4,13,43486.97,0,0,0.0,0.0,2026-05-29 11:55:00,64,4.1,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1346,Francisco Javier Hernádez Zúñiga,demo.usuario090@cemydi.local,18,5,4,0,1,13,28,1,2,14565.9,11,11,5617.74,3.73,2026-06-01 17:12:00,61,1.65,2,Arrendatarios recurrentes,"Ofrecer renovaciones, mantenimiento y renta extendida."
1347,Soledad Guadalupe Cintrón,demo.usuario091@cemydi.local,24,2,2,2,0,9,30,9,23,115630.46,0,0,0.0,0.0,2026-06-19 18:56:00,43,2.73,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1348,Modesto Amador Vergara,demo.usuario092@cemydi.local,17,9,1,5,1,19,33,19,53,204517.1,0,0,0.0,0.0,2026-06-23 10:31:00,39,3.0,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1349,Salma Portillo,demo.usuario093@cemydi.local,28,7,6,3,2,22,46,4,10,21820.55,2,2,4626.61,13.0,2026-04-08 11:47:00,115,5.11,2,Arrendatarios recurrentes,"Ofrecer renovaciones, mantenimiento y renta extendida."
1350,Emilio Páez,demo.usuario094@cemydi.local,30,4,3,1,2,20,40,5,12,112232.03,0,0,0.0,0.0,2026-07-02 13:28:00,30,1.74,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1351,Luis Miguel Cantú,demo.usuario095@cemydi.local,13,5,5,2,0,17,25,9,21,123153.49,2,2,1318.5,3.5,2026-07-15 18:53:00,17,8.33,2,Arrendatarios recurrentes,"Ofrecer renovaciones, mantenimiento y renta extendida."
1352,Amelia Asunción Delgado Arenas,demo.usuario096@cemydi.local,31,5,4,2,1,21,43,13,38,176246.63,0,0,0.0,0.0,2026-06-27 12:11:00,35,3.58,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1353,Ofelia Teresa Quezada Durán,demo.usuario097@cemydi.local,35,10,9,4,1,25,59,7,22,187809.19,2,2,1705.73,4.5,2026-06-07 12:31:00,55,6.56,2,Arrendatarios recurrentes,"Ofrecer renovaciones, mantenimiento y renta extendida."
1354,Elena Urbina,demo.usuario098@cemydi.local,44,21,6,2,1,27,74,10,23,108744.56,1,1,6049.3,10.0,2026-07-04 13:46:00,28,18.5,2,Arrendatarios recurrentes,"Ofrecer renovaciones, mantenimiento y renta extendida."
1355,Abel Mondragón,demo.usuario099@cemydi.local,7,1,0,0,0,6,8,0,0,0.0,1,1,1882.1,11.0,2026-05-19 10:34:00,74,0.89,3,Exploradores,Enviar recordatorios y ofrecer asesoría de compra.
1356,Srita. Camila Cano,demo.usuario100@cemydi.local,25,15,4,3,0,26,47,6,7,13387.09,0,0,0.0,0.0,2026-06-10 17:16:00,52,4.7,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1357,Adriana Miriam Carbajal,demo.usuario101@cemydi.local,39,9,7,3,0,22,58,10,32,195336.27,0,0,0.0,0.0,2026-07-02 15:16:00,30,2.9,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1358,Patricia Treviño Zavala,demo.usuario102@cemydi.local,23,7,2,2,0,21,34,11,38,201702.62,0,0,0.0,0.0,2026-06-09 13:01:00,53,1.36,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1359,Patricio Eloy Pelayo,demo.usuario103@cemydi.local,19,9,3,1,3,18,35,17,47,201311.42,0,0,0.0,0.0,2026-06-16 14:31:00,46,1.3,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1360,Nadia Aguilar,demo.usuario104@cemydi.local,26,13,1,8,3,18,51,19,39,62011.29,2,2,3829.55,10.0,2026-07-17 14:21:00,15,2.55,2,Arrendatarios recurrentes,"Ofrecer renovaciones, mantenimiento y renta extendida."
1361,Martha Caraballo Longoria,demo.usuario105@cemydi.local,20,6,5,3,1,20,35,20,50,169290.39,0,0,0.0,0.0,2026-06-21 09:12:00,41,3.5,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1362,Dalia Carrero,demo.usuario106@cemydi.local,9,1,0,1,0,8,11,2,5,5935.09,0,0,0.0,0.0,2026-02-17 15:43:00,165,0.69,0,Baja actividad,Aplicar campañas de reactivación y seguimiento.
1363,Abelardo Jacobo Gurule García,demo.usuario107@cemydi.local,30,4,2,1,1,19,38,6,15,23074.45,0,0,0.0,0.0,2026-06-24 17:49:00,38,3.8,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1364,Miguel Pascual Segovia Bustamante,demo.usuario108@cemydi.local,20,4,2,2,1,12,29,9,25,114721.64,1,1,1962.2,5.0,2026-07-21 12:15:00,11,2.9,2,Arrendatarios recurrentes,"Ofrecer renovaciones, mantenimiento y renta extendida."
1365,Srita. Josefina Ochoa,demo.usuario109@cemydi.local,24,11,4,6,1,20,46,5,16,221253.66,1,1,5762.35,11.0,2026-07-21 10:53:00,11,6.57,2,Arrendatarios recurrentes,"Ofrecer renovaciones, mantenimiento y renta extendida."
1366,Salvador Silvano Cruz Cervantes,demo.usuario110@cemydi.local,21,7,3,4,1,17,36,21,52,162113.48,2,2,2703.17,10.5,2026-06-17 16:28:00,45,6.0,2,Arrendatarios recurrentes,"Ofrecer renovaciones, mantenimiento y renta extendida."
1367,Ramiro Santana,demo.usuario111@cemydi.local,45,14,12,6,1,28,78,4,14,38753.73,0,0,0.0,0.0,2026-04-21 16:40:00,102,15.6,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1368,Samuel Solorzano Carvajal,demo.usuario112@cemydi.local,41,7,7,3,5,23,63,20,38,94343.24,0,0,0.0,0.0,2026-07-25 09:29:00,7,2.52,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1369,Laura Mireles,demo.usuario113@cemydi.local,16,4,3,2,0,15,25,14,39,102506.81,0,0,0.0,0.0,2026-06-02 16:49:00,60,5.0,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
1370,Hernán Leonel Morales,demo.usuario114@cemydi.local,28,7,5,8,0,20,48,15,41,80229.36,0,0,0.0,0.0,2026-06-28 12:05:00,34,24.0,1,Compradores frecuentes,Ofrecer beneficios de fidelización y recompra.
